Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
perkPackMuleRank1Desc,progression,Perk,New,Carry 20 more items without being encumbered.,,,,,
perkPackMuleRank2Desc,progression,Perk,New,Carry 20 more items without being encumbered.,,,,,
perkPackMuleRank3Desc,progression,Perk,New,Carry 20 more items without being encumbered.,,,,,
perkPackMuleRank4Desc,progression,Perk,New,Carry 20 more items without being encumbered.,,,,,
perkPackMuleRank5Desc,progression,Perk,New,Carry 20 more items without being encumbered.,,,,,
modArmorStoragePocket,item_modifiers,mod,New,Storage Pocket,,,,,
modArmorStoragePocketDesc,item_modifiers,mod,New,Decrease encumbrance penalty by 3 by installing this modification into your armor.,,,,,
modArmorStoragePocketSchematic,items,mod,New,Storage Pocket Schematic,,,,,
modArmorDoubleStoragePocket,item_modifiers,mod,New,Double Storage Pocket,,,,,
modArmorDoubleStoragePocketDesc,item_modifiers,mod,New,Decrease encumbrance penalty by 6 by installing this modification into your armor.,,,,,
modArmorDoubleStoragePocketSchematic,items,mod,New,Double Storage Pocket,,,,,
modArmorTripleStoragePocket,item_modifiers,mod,New,Triple Storage Pocket,,,,,
modArmorTripleStoragePocketDesc,item_modifiers,mod,New,Decrease encumbrance penalty by 9 by installing this modification into your armor.,,,,,
modArmorTripleStoragePocketSchematic,item_modifiers,mod,New,Triple Storage Pocket Schematic,,,,,
