Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
r,items,Gun,KgNone,_,,,,,
s,items,Gun,KgNone,_________________PLACE__AT__THE__BEGINNING__OF__FILE__AFTER__Key_Source_Context__OR__OTHER__MODS_____________________,,,,,
t,items,Gun,KgNone,_,,,,,
HDHQ44MagnumArmorJungle,items,Gun,KgNone,JACOBS .44 Magnum,,,,,
HDHQ44MagnumArmorJungleDesc,items,Gun,KgNone,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQAK47ArmorJungle,items,Gun,KgNone,JACOBS AK-47 Assault Rifle,,,,,
HDHQAK47ArmorJungleDesc,items,Gun,KgNone,"This badass AK-47 Assault Rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQHuntingRifleArmorJungle,items,Gun,KgNone,JACOBS Hunting Rifle,,,,,
HDHQHuntingRifleArmorJungleDesc,items,Gun,EnChanged,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQMR10ArmorJungle,items,Gun,KgNone,JACOBS Marksman Rifle,,,,,
HDHQMR10ArmorJungleDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQPistolArmorJungle,items,Gun,KgNone,JACOBS Pistol,,,,,
HDHQPistolArmorJungleDesc,items,Gun,EnChanged,"A basic Pistol that uses 9mm ammo.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQPumpShotgunArmorJungle,items,Gun,KgNone,JACOBS Shotgun,,,,,
HDHQPumpShotgunArmorJungleDesc,items,Gun,EnChanged,"A long-barreled shotgun uses shells for ammo.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQSMG5ArmorJungle,items,Gun,KgNone,JACOBS SMG-5,,,,,
HDHQSMG5ArmorJungleDesc,items,Gun,EnChanged,"This submachine gun uses 9mm ammo.\nRepair with Repair Kits.\n\nJACOBS Variants are more powerful, but have a higher Recoil.\nBonus: Headshot-Perk +2",,,,,
HDHQ44MagnumCamoDigital,items,Gun,KgNone,DAHL .44 Magnum,,,,,
HDHQ44MagnumCamoDigitalDesc,items,Gun,KgNone,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with Repair Kits.\n\nDAHL Variants are very accurate, but mediocre stats elsewhere.\nBonus: RunAndGun-Perk +2",,,,,
HDHQAK47CamoDigital,items,Gun,KgNone,DAHL AK-47 Assault Rifle,,,,,
HDHQAK47CamoDigitalDesc,items,Gun,KgNone,"This badass AK-47 Assault Rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nDAHL Variants are very accurate, but mediocre stats elsewhere.\nBonus: RunAndGun-Perk +2",,,,,
HDHQHuntingRifleCamoDigital,items,Gun,KgNone,DAHL Hunting Rifle,,,,,
HDHQHuntingRifleCamoDigitalDesc,items,Gun,EnChanged,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nDAHL Variants are very accurate, but mediocre stats elsewhere.\nBonus: RunAndGun-Perk +2",,,,,
HDHQMR10CamoDigital,items,Gun,KgNone,DAHL Marksman Rifle,,,,,
HDHQMR10CamoDigitalDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\nRepair with Repair Kits.\n\nDAHL Variants are very accurate, but mediocre stats elsewhere.\nBonus: RunAndGun-Perk +2",,,,,
HDHQPistolCamoDigital,items,Gun,KgNone,DAHL Pistol,,,,,
HDHQPistolCamoDigitalDesc,items,Gun,EnChanged,"A basic Pistol that uses 9mm ammo.\nRepair with Repair Kits.\n\nDAHL Variants are very accurate, but mediocre stats elsewhere.\nBonus: RunAndGun-Perk +2",,,,,
HDHQPumpShotgunCamoDigital,items,Gun,KgNone,DAHL Shotgun,,,,,
HDHQPumpShotgunCamoDigitalDesc,items,Gun,EnChanged,"A long-barreled shotgun uses shells for ammo.\nRepair with Repair Kits.\n\nDAHL Variants are very accurate, but mediocre stats elsewhere.\nBonus: RunAndGun-Perk +2",,,,,
HDHQSMG5CamoDigital,items,Gun,KgNone,DAHL SMG-5,,,,,
HDHQSMG5CamoDigitalDesc,items,Gun,EnChanged,"This submachine gun uses 9mm ammo.\nRepair with Repair Kits.\n\nDAHL Variants are very accurate, but mediocre stats elsewhere.\nBonus: RunAndGun-Perk +2",,,,,
HDHQ44MagnumArmorWinter,items,Gun,KgNone,BANDIT .44 Magnum,,,,,
HDHQ44MagnumArmorWinterDesc,items,Gun,KgNone,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\nRepair with Repair Kits.\n\nBANDIT Variants have higher Mags and Firerate, but are not so accurate.\nBonus: AutomaticWeapons-Perk +2",,,,,
HDHQAK47ArmorWinter,items,Gun,KgNone,BANDIT AK-47 Assault Rifle,,,,,
HDHQAK47ArmorWinterDesc,items,Gun,KgNone,"This badass AK-47 Assault Rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nBANDIT Variants have higher Mags and Firerate, but are not so accurate.\nBonus: AutomaticWeapons-Perk +2",,,,,
HDHQHuntingRifleArmorWinter,items,Gun,KgNone,BANDIT Hunting Rifle,,,,,
HDHQHuntingRifleArmorWinterDesc,items,Gun,EnChanged,"This common farmer's hunting rifle uses 7.62mm ammo.\nRepair with Repair Kits.\n\nBANDIT Variants have higher Mags and Firerate, but are not so accurate.\nBonus: AutomaticWeapons-Perk +2",,,,,
HDHQMR10ArmorWinter,items,Gun,KgNone,BANDIT Marksman Rifle,,,,,
